🕘️更新时间,#genre#
2025-03-02 07:05:57,http://ttkx.cc:1380/公5558/mg9.php?id=cctv1

📺央视频道,#genre#
CCTV-1,http://ttkx.cc:1380/公5558/mg9.php?id=cctv1
CCTV-2,http://ttkx.cc:1380/公5558/mg9.php?id=cctv2
CCTV-3,http://ttkx.cc:1380/公5558/mg9.php?id=cctv3
CCTV-4,http://ttkx.cc:1380/公5558/mg9.php?id=cctv4
CCTV-5,http://ttkx.cc:1380/公5558/mg9.php?id=cctv5
CCTV-5+,http://ttkx.cc:1380/公5558/mg9.php?id=cctv5p
CCTV-6,http://ttkx.cc:1380/公5558/mg9.php?id=cctv6
CCTV-7,http://ttkx.cc:1380/公5558/mg9.php?id=cctv7
CCTV-8,http://ttkx.cc:1380/公5558/mg9.php?id=cctv8
CCTV-9,http://ttkx.cc:1380/公5558/mg9.php?id=cctv9
CCTV-10,http://ttkx.cc:1380/公5558/mg9.php?id=cctv10
CCTV-11,http://ttkx.cc:1380/公5558/mg9.php?id=cctv11
CCTV-12,http://ttkx.cc:1380/公5558/mg9.php?id=cctv12
CCTV-13,http://ttkx.cc:1380/公5558/mg9.php?id=cctv13
CCTV-14,http://ttkx.cc:1380/公5558/mg9.php?id=cctv14
CCTV-15,http://ttkx.cc:1380/公5558/mg9.php?id=cctv15
CCTV-16,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv16
CCTV-17,http://ttkx.cc:1380/公5558/mg9.php?id=cctv17

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://ttkx.cc:1380/公5558/mg9.php?id=gdws
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
浙江卫视,http://104.36.87.93:5000/1000000005000265031/ystenlive/index.m3u8
湖南卫视,http://tvbox6.icu/tv/migu.php?id=hunws
北京卫视,http://104.36.87.93:5000/1000000005000265027/ystenlive/index.m3u8
湖北卫视,http://tvbox6.icu/tv/migu.php?id=hubws
黑龙江卫视,http://php.jdshipin.com:8880/cqyx.php?id=HEILONGJIANGHD
安徽卫视,http://104.36.87.93:5000/1000000005000265025/ystenlive/index.m3u8
重庆卫视,http://tvbox6.icu/tv/migu.php?id=cqws
东方卫视,http://tvbox6.icu/tv/migu.php?id=dfws
东南卫视,http://104.36.87.93:5000/1000000005000265033/ystenlive/index.m3u8
甘肃卫视,http://tvbox6.icu/tv/migu.php?id=gsws
广西卫视,http://tvbox6.icu/tv/migu.php?id=gxws
贵州卫视,http://tvbox6.icu/tv/migu.php?id=gzws
海南卫视,http://tvbox6.icu/tv/migu.php?id=hinws
河北卫视,http://8.138.7.223/tv/dl/careryun.php?id=34
河南卫视,http://211.101.234.24:866/aishang/migu.php/migu.php?id=hnws
吉林卫视,http://tvbox6.icu/tv/migu.php?id=jlws
江苏卫视,http://211.101.234.24:866/aishang/migu.php/migu.php?id=jsws
江西卫视,http://tvbox6.icu/tv/migu.php?id=jxws
辽宁卫视,http://tvbox6.icu/tv/migu.php?id=lnws
内蒙古卫视,http://tvbox6.icu/tv/migu.php?id=nmws
宁夏卫视,http://tvbox6.icu/tv/migu.php?id=nxws
青海卫视,http://tvbox6.icu/tv/migu.php?id=qhws
山东卫视,http://tvbox6.icu/tv/migu.php?id=sdws
山西卫视,http://118.81.107.79:9999/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://211.101.234.24:866/aishang/migu.php/migu.php?id=sxws
四川卫视,http://118.81.107.79:9999/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://104.36.87.93:5000/1000000005000265028/ystenlive/index.m3u8
三沙卫视,http://php.jdshipin.com:8880/cqyx.php?id=SANSHASD
天津卫视,http://104.36.87.93:5000/1000000005000265026/ystenlive/index.m3u8
西藏卫视,http://tvbox6.icu/tv/migu.php?id=xzws
新疆卫视,http://tvbox6.icu/tv/migu.php?id=xjws
云南卫视,http://tvbox6.icu/tv/migu.php?id=ynws
